year,month,day,hour,pm25_hourly
2013,1,13,13,7.5516666667
2013,1,13,14,6.95
2013,1,13,15,6.735
2013,1,13,16,6.5666666667
2013,1,13,17,7.3416666667
2013,1,13,18,8.765
2013,1,13,19,9.4283333333
2013,1,13,20,10.11
2013,1,13,21,10.681666667
2013,1,13,22,10.546666667
2013,1,13,23,10.2
2013,1,13,24,10.35
2013,1,14,1,11.265
2013,1,14,2,10.741666667
2013,1,14,3,13.94
2013,1,14,4,15.806666667
2013,1,14,5,17.07
2013,1,14,6,13.863333333
2013,1,14,7,14.618333333
2013,1,14,8,13.783333333
2013,1,14,9,13.421666667
2013,1,14,10,9.7166666667
2013,1,14,11,2.42
2013,1,14,12,10.705
2013,1,14,13,6.39
2013,1,14,14,11.52
2013,1,14,15,13.546666667
2013,1,14,16,14.388333333
2013,1,14,17,13.655
2013,1,14,18,15.56
2013,1,14,19,17.56
2013,1,14,20,12.848333333
2013,1,14,21,10.955
2013,1,14,22,8.9033333333
2013,1,14,23,8.4416666667
2013,1,14,24,3.8283333333
2013,1,15,1,8.96
2013,1,15,2,10.046666667
2013,1,15,3,10.253333333
2013,1,15,4,11.2
2013,1,15,5,27.573333333
2013,1,15,6,21.935
2013,1,15,7,26.44
2013,1,15,8,11.836666667
2013,1,15,9,4.655
2013,1,15,10,3.6133333333
2013,1,15,11,6.925
2013,1,15,12,8.7783333333
2013,1,15,13,4.5933333333
2013,1,15,14,7.96
2013,1,15,15,17.415
2013,1,15,16,19.65
2013,1,15,17,19.768181818
2013,1,15,20,19.27
2013,1,15,21,19.395
2013,1,15,22,15.996666667
2013,1,15,23,11.745
2013,1,15,24,5.4916666667
2013,1,16,1,20.251666667
2013,1,16,2,22.681666667
2013,1,16,3,19.306666667
2013,1,16,4,12.083333333
2013,1,16,5,6.5566666667
2013,1,16,6,7.8
2013,1,16,7,7.57
2013,1,16,8,3.9533333333
2013,1,16,9,4.7816666667
2013,1,16,10,5.5283333333
2013,1,16,11,5.2683333333
2013,1,16,12,15.028333333
2013,1,16,13,8.5633333333
2013,1,16,14,4.545
2013,1,16,15,3.6866666667
2013,1,16,16,5.445
2013,1,16,17,5.73
2013,1,16,18,5.3866666667
2013,1,16,19,5.36
2013,1,16,20,5.1183333333
2013,1,16,21,5.9833333333
2013,1,16,22,9.145
2013,1,16,23,8.9583333333
2013,1,16,24,7.8483333333
2013,1,17,1,9.4266666667
2013,1,17,2,4.9916666667
2013,1,17,3,3.6933333333
2013,1,17,4,3.0683333333
2013,1,17,5,5.4716666667
2013,1,17,6,28.985
2013,1,17,7,8.5833333333
2013,1,17,8,15.401666667
2013,1,17,9,2.1133333333
2013,1,17,10,1.72
2013,1,17,11,2.06
2013,1,17,12,8.6116666667
2013,1,17,13,1.5766666667
2013,1,17,14,2.065
2013,1,17,15,0.9516666667
2013,1,17,16,0.9966666667
2013,1,17,17,2.56
2013,1,17,18,3.095
2013,1,17,19,3.0316666667
2013,1,17,20,4.1183333333
2013,1,17,21,4.765
2013,1,17,22,6.6466666667
2013,1,17,23,8.9516666667
2013,1,17,24,1.31
2013,1,18,1,11.338333333
2013,1,18,2,11.8
2013,1,18,3,12.113333333
2013,1,18,4,11.941666667
2013,1,18,5,11.835
2013,1,18,6,12.423333333
2013,1,18,7,14.376666667
2013,1,18,8,15.615
2013,1,18,9,15.605
2013,1,18,10,14.021666667
2013,1,18,11,12.036666667
2013,1,18,12,10.541666667
2013,1,18,13,5.935
2013,1,18,14,4.3333333333
2013,1,18,15,3.4283333333
2013,1,18,16,3.3916666667
2013,1,18,17,3.2366666667
2013,1,18,18,3.6666666667
2013,1,18,19,5.0716666667
2013,1,18,20,5.5566666667
2013,1,18,21,5.7083333333
2013,1,18,22,7.1316666667
2013,1,18,23,7.4766666667
2013,1,18,24,8.0116666667
2013,1,19,1,6.6233333333
2013,1,19,2,6.275
2013,1,19,3,6.85
2013,1,19,4,7.6066666667
2013,1,19,5,8.0683333333
2013,1,19,6,8.8716666667
2013,1,19,7,8.7416666667
2013,1,19,8,8.6983333333
2013,1,19,9,9.845
2013,1,19,10,8.78
2013,1,19,11,6.8383333333
2013,1,19,12,7.4983333333
2013,1,19,13,5.78
2013,1,19,14,6.2133333333
2013,1,19,15,6.285
2013,1,19,16,5.3766666667
2013,1,19,17,5.0216666667
2013,1,19,18,6.035
2013,1,19,19,7.135
2013,1,19,20,9.9816666667
2013,1,19,21,12.51
2013,1,19,22,13.14
